Symptom,Related_Symptoms
itching,"skin_rash, nodal_skin_eruptions, continuous_sneezing"
skin_rash,"itching, nodal_skin_eruptions, redness_of_eyes"
nodal_skin_eruptions,"skin_rash, itching, red_spots_over_body"
continuous_sneezing,"runny_nose, congestion, sinus_pressure"
shivering,"chills, high_fever, fatigue"
chills,"fever, sweating, shivering"
joint_pain,"muscle_pain, swelling_joints, stiff_neck"
stomach_pain,"abdominal_pain, diarrhoea, constipation"
acidity,"stomach_pain, indigestion, vomiting"
ulcers_on_tongue,"burning_micturition, spotting_urination, vomiting"
muscle_wasting,"muscle_weakness, fatigue, joint_pain"
vomiting,"nausea, stomach_pain, diarrhoea"
burning_micturition,"spotting_urination, pain_during_bowel_movements, ulcers_on_tongue"
spotting_urination,"burning_micturition, bladder_discomfort, foul_smell_of_urine"
fatigue,"weakness_in_limbs, breathlessness, fever"
weight_gain,"obesity, increased_appetite, lethargy"
anxiety,"restlessness, irritability, depression"
cold_hands_and_feets,"anxiety, restlessness, shivering"
mood_swings,"anxiety, irritability, depression"
weight_loss,"fatigue, anxiety, increased_appetite"
restlessness,"anxiety, irritability, cold_hands_and_feets"
lethargy,"fatigue, dizziness, weakness_in_limbs"
patches_in_throat,"sore_throat, cough, throat_irritation"
irregular_sugar_level,"increased_appetite, fatigue, weight_loss"
cough,"chest_pain, phlegm, throat_irritation, congestion, sinus_pressure, breathlessness"
high_fever,"chills, shivering, sweating, dehydration"
sunken_eyes,"dehydration, fatigue, yellowish_skin"
breathlessness,"cough, chest_pain, fatigue"
sweating,"fever, chills, fatigue"
dehydration,"sunken_eyes, lethargy, fatigue"
indigestion,"acidity, vomiting, stomach_pain"
headache,"fever, nausea, blurred_and_distorted_vision"
yellowish_skin,"jaundice, dark_urine, sunken_eyes"
dark_urine,"jaundice, yellowish_skin, loss_of_appetite"
nausea,"vomiting, indigestion, loss_of_appetite"
loss_of_appetite,"nausea, fatigue, dark_urine"
pain_behind_the_eyes,"headache, blurred_and_distorted_vision, dizziness"
back_pain,"muscle_pain, joint_pain, stiff_neck"
constipation,"abdominal_pain, stomach_pain, pain_during_bowel_movements"
abdominal_pain,"constipation, stomach_pain, diarrhoea"
diarrhoea,"abdominal_pain, stomach_pain, dehydration"
mild_fever,"fatigue, chills, sweating"
yellow_urine,"dehydration, dark_urine, jaundice"
yellowing_of_eyes,"jaundice, yellowish_skin, dark_urine"
acute_liver_failure,"jaundice, yellowish_skin, abdominal_pain"
fluid_overload,"swelling_of_stomach, swelled_lymph_nodes, swollen_extremeties"
swelling_of_stomach,"fluid_overload, swelled_lymph_nodes, abdominal_pain"
swelled_lymph_nodes,"fluid_overload, swelling_of_stomach, malaise"
malaise,"fatigue, headache, fever"
blurred_and_distorted_vision,"headache, pain_behind_the_eyes, visual_disturbances"
phlegm,"cough, throat_irritation, chest_pain"
throat_irritation,"cough, phlegm, patches_in_throat"
redness_of_eyes,"itching, skin_rash, watering_from_eyes"
sinus_pressure,"congestion, runny_nose, headache"
runny_nose,"sinus_pressure, congestion, continuous_sneezing"
congestion,"sinus_pressure, runny_nose, cough"
chest_pain,"cough, breathlessness, phlegm"
weakness_in_limbs,"fatigue, lethargy, muscle_weakness"
fast_heart_rate,"anxiety, palpitations, dizziness"
pain_during_bowel_movements,"constipation, abdominal_pain, irritation_in_anus"
pain_in_anal_region,"constipation, irritation_in_anus, pain_during_bowel_movements"
bloody_stool,"pain_in_anal_region, constipation, abdominal_pain"
irritation_in_anus,"pain_in_anal_region, constipation, pain_during_bowel_movements"
neck_pain,"stiff_neck, joint_pain, muscle_pain"
dizziness,"headache, fatigue, weakness_in_limbs"
cramps,"abdominal_pain, muscle_pain, pain_during_bowel_movements"
bruising,"swelling_joints, pain_in_anal_region, muscle_pain"
obesity,"weight_gain, increased_appetite, joint_pain"
swollen_legs,"fluid_overload, swollen_extremeties, puffy_face_and_eyes"
swollen_blood_vessels,"swelling_of_stomach, fluid_overload, swelled_lymph_nodes"
